hand,0.399,-0.215,0.103,128.88,-96.37,-39.7
hand,0.340,-0.157,0.078,-22.3,-99.7,112.95
hand,0.438,-0.234,0.085,73.4,-100.4,26.7
hand,0.496,-0.235,0.127,23.8,-100.1,59.9
hand,0.443,-0.265,0.126,8.8,-82.7,78.1
hand,0.427,-0.272,0.080,101.7,-86.8,-18
hand,0.401,-0.352,0.093,-8.2,-87.6,90.3
hand,0.527,-0.356,0.086,-88,-76.8,175.2
hand,0.468,-0.334,0.113,116.4,-79.4,-28.6
hand,0.420,-0.224,0.139,109.4,-76.9,-8.5
hand,0.475,-0.320,0.157,3,-89.64,81.32
